Name,stem,correct_response,response_b,response_c,response_d,best Jasmine,best Julian,best item Josh,agreement,Inferential difficulty,Stem Words,Distractor Difficulty,Background Knowledge,_merge,target_n,strata,proximity_awl,polysemy_awl,frequency_awl,diversity_awl,complexity_awl,tag,Difficulty of other words in stem,Required Background
tsar,"The TSAR's rule was marked by both opulence and autocracy, greatly influencing the history of Russia.",emperor,civilian,merchant,farmer,,,,,,,,,Matched (3),6,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
reparation,"As part of the peace treaty, the aggressor nation agreed to make significant REPARATION to the countries it had invaded.",amends,decoration,exclusions,maneuvers,,best,,,,,,,Matched (3),3,424,-0.1043145,0.1304138,-2.445926,-2.0322931,0.13727389,,,
leukemia,"LEUKEMIA is a type of illness that affects the blood and bone marrow, often requiring complex treatment.",blood cancer,influenza,bronchitis,migraine,low valence,,,,,,,,Matched (3),3,240,-0.31665069,-2.0527489,-1.097963,-4.2865329,0.1438029,,,
fantastical,The artist's FANTASTICAL paintings captured a world of vivid colors and dreamlike landscapes.,whimsical,dull,ordinary,realistic,,,,,,,,,Matched (3),2,422,-0.38629591,-1.182196,-2.2008901,-1.015232,2.322417,,,
courtyard,The hotel features a beautiful COURTYARD with a fountain and several gardens.,patio,lobby,suite,hallway,best,,,,,,,,Matched (3),1,341,-0.30782959,-1.686005,-0.46833819,-0.76049489,0.28262949,,,
angelical,The ANGELICAL appearance of the child captivated all who saw her.,divine,ordinary,mischievous,tired,,,,,,,,,Matched (3),3,301,1.019376,-1.82298,-4.9739871,-3.9799359,-0.1662222,,,
jovial,"His JOVIAL laugh echoed through the hallways, making people smile.",merry,serious,dull,timid,,,,,,,,,Matched (3),2,130,0.3572045,-1.879122,-1.832177,-0.83017749,-0.6918866,,,
untimely,The CEO's UNTIMELY resignation left the company in disarray.,premature,celebrated,prolonged,notorious,best,,,,,,,,Matched (3),1,234,-0.2843869,-0.1359382,-1.853285,-0.1199215,-0.1344692,,,
mousy,Jake's MOUSY demeanor in the meetings led his colleagues to underestimate his capabilities.,shy,assertive,aggressive,talkative,best,,,,,,,,Matched (3),2,13,0.89446092,-0.3272649,-2.6498239,-1.124418,-1.435003,,,
fairlead,"To reduce the wear on the lines, we passed the ropes through the FAIRLEAD before securing them.",guide,knot,sail,harpoon,best,,,,,,,,Matched (3),3,201,-0.1886946,-1.80564,-4.6749678,-2.15169,-1.2429529,,,
bayou,The alligator moved stealthily through the murky waters of the BAYOU.,marsh,desert,island,mountain,best,,,,,,,,Matched (3),5,30,0.0347206,-1.966273,-1.4537081,-2.4100249,-1.581982,,,
dethrone,Many believe that the reigning champion will be DETHRONED in the upcoming match.,unseated,promoted,cheered,followed,,best,,,,,,,Matched (3),2,210,-0.2941294,-1.885605,-2.9452879,-0.86619103,-0.20166969,,,
fanatic,Joan was such a FANATIC about fitness that she never missed a day at the gym.,enthusiast,skeptic,teacher,beginner,best,,best,2,,,,,Matched (3),3,133,-0.26747099,-0.75783157,-1.133706,-0.40174481,-0.4188486,,,
reassert,"In her closing argument, she aimed to REASSERT the main points to ensure the jury understood her stance.",emphasize,neglect,confuse,decorate,,,,,,,,,Matched (3),2,220,-0.29090121,-2.0211029,-2.339967,-0.56720769,-0.2306108,,,
maser,The development of the MASER in the 1950s was a significant milestone in the field of quantum electronics.,invention,obstacle,trend,hypothesis,error,,,,,,,,Matched (3),3,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
gumbo,"At the family gathering, everyone savored the hearty bowl of GUMBO.",stew,salad,dessert,sandwich,best,,best,2,,,,,Matched (3),3,24,0.38425121,-0.2290304,-1.924482,-3.98806,-1.130899,,,
blacklist,James was informed that he had been placed on a company BLACKLIST and was no longer eligible for promotions.,exclusion list,guest list,attendance sheet,menu,,,,,,,,,Matched (3),6,312,-0.29540759,-1.024977,-2.7656779,-2.0988331,0.2214148,,,
hieroglyphic,"To understand the ancient HIEROGLYPHIC text, the researcher studied several old scripts and symbols.",emblematic,verbal,novel,incomplete,,,,,,,,,Matched (3),3,414,-0.37601879,-0.2375336,-2.7388,-0.89305788,1.743057,,,
cock,She had to COCK the hammer back before taking aim with the rifle.,pull back,hide,drop,lift,,,,,,,,,Matched (3),2,44,7.8873739,1.550397,-0.51192141,-1.025781,-2.303277,,,
treble,The musician adjusted the settings to increase the TREBLE for a brighter sound.,high-frequency,bass,tempo,rhythm,none,best,best,3,,,,,Matched (3),3,124,-0.1815047,0.99892628,-2.01633,-2.3757031,-1.142134,,,
prior,He had a PRIOR engagement and could not attend the meeting.,previous,special,casual,tentative,,,,,,,,,Matched (3),2,43,-0.098242998,-0.36258131,0.88622171,1.053866,-1.584538,,,
cock,He always had to COCK his hat at a jaunty angle before leaving the house.,tilt,clean,remove,straighten,,,,,,,,,Matched (3),1,44,7.8873739,1.550397,-0.51192141,-1.025781,-2.303277,low valence,,
leukemia,"The artist's work was known for its PLAINNESS, focusing on the subject without any distractions.",simplicity,vibrancy,detail,richness,low valence,,"error, plainness",,,,,,Matched (3),5,240,-0.31665069,-2.0527489,-1.097963,-4.2865329,0.1438029,,,
gnash,,,,,,,error,error,,,,,,Master only (1),6,12,0.1594612,-1.135699,-3.194531,-2.311918,-1.8229361,,,
trait,Creativity is a TRAIT commonly found among artists and innovators.,quality,role,activity,action,,,,,,,,,Matched (3),2,41,1.508086,-1.588469,-0.40775961,-0.34008011,-1.716779,,,
fatality,"Due to the intense storm, the news reported a FATALITY in the coastal town.",casualty,arrival,victory,performance,low valence,,,,,,,,Matched (3),2,233,-0.2953181,-0.50554347,-1.753395,-1.673229,0.088079698,,,
privy,"As a trusted advisor, he was PRVY to many personal secrets of the royal family.",confided,close,indifferent,responsible,,,,,,,,,Matched (3),2,34,-0.17536791,-0.1097499,-1.381842,-0.98187321,-1.287394,,,
jag,"After the emotional JAG of crying, Sofia felt exhausted but relieved.",outburst,interlude,sequence,event,best,best,,2,,,,,Matched (3),1,4,12.20553,0.15818051,-4.1214519,-2.702574,-2.1945961,,,
opulence,The palace's grandeur and OPULENCE were apparent in every gilded room and ornate hall.,luxury,simplicity,cleanliness,modesty,,best,best,2,,,,,Matched (3),2,222,-0.27608979,-1.456144,-2.3709819,-1.408294,0.075805902,,,
heckle,"The fans started to HECKLE the opposing team from the stands, making it hard for the players to focus.",harass,encourage,silence,listen,,,,,,,,,Matched (3),1,113,0.63807422,-0.8503564,-2.972322,-0.79170609,-1.241866,,,
maser,The knight's tale was a story of GALLANTRY and nobility.,heroism,deception,recklessness,weakness,error,,"error, gallantry",,,,,,Matched (3),5,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
quibble,The lawyer's tendency to QUIBBLE over insignificant points annoyed the judge and the jury.,nitpick,accept,applaud,abandon,error,,,,,,,,Matched (3),3,123,-0.26396489,-0.43154579,-2.0304689,-1.0137841,-0.88050032,,,
privy,"As a trusted advisor, he was PRVY to many personal secrets of the royal family.",confided,close,indifferent,responsible,,,,,,,,,Matched (3),2,34,-0.17536791,-0.1097499,-1.381842,-0.98187321,-1.287394,,,
depiction,The book's DEPICTION of rural life in the 19th century is both poignant and thorough.,illustration,celebration,disruption,commentary,,,,,,,,,Matched (3),1,334,-0.291242,0.1579157,-1.692847,-2.6202991,-0.031723399,,,
thoroughly,"After cleaning the house THOROUGHLY, she was exhausted but satisfied with the result.",completely,partially,randomly,quickly,,,,,,,,,Matched (3),3,443,-0.3255941,-0.57954389,0.44315171,1.278632,0.1368884,,,
shiftless,The manager noticed that Tom's SHIFTLESS attitude was affecting the team's productivity.,unmotivated,hardworking,relaxed,confident,,,,,,,,,Matched (3),6,311,-0.2794365,-1.748387,-2.5975051,-0.3383114,-0.1079961,,,
cockeyed,The artist created a COCKEYED portrait that left the audience both puzzled and intrigued.,bizarre,beautiful,conventional,realistic,best,,,,,,,,Matched (3),6,213,-0.040678699,-0.76759988,-2.758297,-1.814664,-0.54790318,,,
fatality,The construction site was closed after a tragic FATALITY occurred yesterday.,demise,meeting,conference,enhancement,low valence,,,,,,,,Matched (3),3,233,-0.2953181,-0.50554347,-1.753395,-1.673229,0.088079698,,,
courtyard,The hotel features a beautiful COURTYARD with a fountain and several gardens.,patio,lobby,suite,hallway,best,,best,2,,,,,Matched (3),6,341,-0.30782959,-1.686005,-0.46833819,-0.76049489,0.28262949,,,
horticultural,The HORTICULTURAL society held a flower show that attracted garden enthusiasts from all over the city.,gardening,literary,athletic,industrial,,,,,,,,,Matched (3),2,431,-0.2615549,-1.680624,-1.854432,-1.926352,-0.73360699,,,
guardroom,The prisoner was taken to the GUARDROOM for interrogation after being captured.,watchroom,hall,classroom,office,error,best,,,,,,,Matched (3),3,302,-0.27856901,-1.398705,-4.6881781,-2.972898,0.0422123,,,
womenfolk,"In many traditional communities, the responsibility of preserving cultural heritage often falls to the WOMENFOLK.",ladies,leaders,traders,warriors,best,,,,,,,,Matched (3),3,310,-0.32431629,-2.1497171,-2.9336181,-2.129437,0.66396731,,,
warden,The PRISON'S WARDEN announced new policies to improve inmate rehabilitation programs.,superintendent,prisoner,visitor,officer,,,best,,,,,,Matched (3),3,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
supposition,,,,,,,,,,,,,,Master only (1),1,434,-0.3182517,-0.2066811,-1.699127,-0.84053129,0.65526181,,,
warden,"Due to its porous nature, SANDSTONE is often used in buildings where intricate designs are required.",sedimentary rock,limestone,basalt,schist,,,error,,,,,,Matched (3),2,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
womenfolk,"In many traditional communities, the responsibility of preserving cultural heritage often falls to the WOMENFOLK.",ladies,leaders,traders,warriors,best,best,best,3,,,,,Matched (3),3,310,-0.32431629,-2.1497171,-2.9336181,-2.129437,0.66396731,,,
tsar,"During the reign of the TSAR, the nation saw significant expansion and the establishment of a strong centralized government.",monarch,general,citizen,traveler,best,,,,,,,,Matched (3),3,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
predictor,Analysts believe that consumer confidence is a reliable PREDICTOR of spending habits.,gauge,segment,measure,driver,,,,,,,,,Matched (3),6,333,-0.27627951,-0.7265473,-1.421664,-2.082128,0.088023998,,,
angelical,Her ANGELICAL voice soothed everyone in the room.,heavenly,harsh,loud,grating,,best,,,,,,,Matched (3),2,301,1.019376,-1.82298,-4.9739871,-3.9799359,-0.1662222,,,
twain,"The poet famously wrote about the day when the lovers would be together again, no longer separated by TWAIN roads.",two,winding,narrow,dusty,,best,,,,,,,Matched (3),3,31,-0.2780019,-1.531244,-1.344256,-0.1242228,0.54951268,,,
bulgy,His muscles looked BULGY after months of intense weightlifting.,enlarged,weak,narrow,soft,,,,,,,,,Matched (3),3,0,1.012418,-2.1170831,-3.63605,-2.3103111,-1.1563129,,,
maser,The knight's tale was a story of GALLANTRY and nobility.,heroism,deception,recklessness,weakness,error,,"best, error, gallantry",,,,,,Matched (3),5,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
apprehensive,The travelers were APPREHENSIVE when they noticed the storm clouds gathering.,uneasy,thrilled,ignorant,nonchalant,best,,,,,,,,Matched (3),4,432,-0.34762409,-0.91998082,-1.553077,0.36933431,1.401337,,,
sandstone,The geologist explained that the layers within the SANDSTONE were formed over millions of years by sediment deposition.,sedimentary rock,igneous rock,metamorphic rock,pumice,,,,,,,,,Matched (3),6,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
uppercut,The boxer surprised his opponent with a quick UPPERCUT to the chin.,punch,block,jump,kick,best,,best,2,,,,,Matched (3),1,211,-0.29922429,-1.594432,-2.6174669,-3.5175231,0.020571699,,,
residency,"After graduating from medical school, she began her RESIDENCY at a major hospital in Boston.",training,vacation,seminar,excursion,,best,,,,,,,Matched (3),3,343,-0.1147114,-0.80103987,-1.0924129,-1.484846,0.297961,,,
loquacious,Scientists are studying the impact of climate change on the population of KRILL in Antarctic waters.,talkative,silent,hesitant,indifferent,,,"Krill, error",,,,,,Using only (2),3,0,0,0,0,0,0,,,
opulence,"Despite the city's economic challenges, the downtown area was a beacon of OPULENCE and prosperity.",wealth,poverty,decay,neutrality,,,,,,,,,Matched (3),1,222,-0.27608979,-1.456144,-2.3709819,-1.408294,0.075805902,,,
residency,He completed a two-year artist RESIDENCY that allowed him to work on his painting without financial worries.,fellowship,hiatus,trip,job,,,best,,,,,,Matched (3),1,343,-0.1147114,-0.80103987,-1.0924129,-1.484846,0.297961,,,
snakeroot,The herbalist recommended using SNAKEROOT to treat the patient's inflammatory condition.,plant,medicine,ritual,diet,best,,best,2,,,,,Matched (3),2,304,-0.028939201,-0.0078959,-4.5115299,-1.792186,-1.387576,,,
uncivilized,The early settlers faced harsh conditions and had to resort to what some would call UNCIVILIZED methods to survive in the new land.,savage,ethical,cautious,pleasant,,,,,,,,,Matched (3),2,421,-0.142992,-1.708593,-1.973217,-0.94818372,1.2863261,,,
fusspot,"Ever since he became manager, John has turned into a real FUSSPOT, always worrying about the smallest details.",perfectionist,slacker,enthusiast,optimist,best,,,,,,,,Matched (3),3,101,-0.35677919,-1.73809,-4.2408199,-2.802145,1.620153,,,
mulishness,The project's failure was attributed to the manager's MULE stubborn refusal to consider alternative strategies.,stubbornness,kindness,expertise,compassion,,,,,,,,,Matched (3),1,404,10.08358,0.66707069,-4.8308201,-1.616565,-1.0847991,,,
divvy,The roommates need to DIVVY the household chores so that everyone contributes equally.,share,ignore,plan,increase,,,,,,,,,Matched (3),2,11,-0.0276288,-1.5388,-3.0263779,-3.5673699,-1.386676,,,
shilling,,,,,,,error,error,,,,,,Master only (1),6,214,2.026552,0.1145832,-3.122968,-0.4054395,-1.072482,,,
untimely,The UNTIMELY arrival of the storm disrupted our outdoor event.,premature,welcome,sluggish,awkward,,,,,,,,,Matched (3),3,234,-0.2843869,-0.1359382,-1.853285,-0.1199215,-0.1344692,,,
scrubwoman,"As the SCRUBWOMAN went about her tasks, she silently hummed a cheerful tune.",janitor,accountant,supervisor,receptionist,best,best,,2,,,,,Matched (3),3,402,-0.30636829,-1.224812,-4.7836251,-1.54872,1.176652,,,
residency,Her RESIDENCY at the university enabled her to conduct independent research.,tenure,journey,break,employment,best,,,,,,,,Matched (3),2,343,-0.1147114,-0.80103987,-1.0924129,-1.484846,0.297961,,,
blacklist,"The school threatened to BLACKLIST students found cheating, barring them from future events.",prohibit,invite,encourage,monitor,best,,,,,,,,Matched (3),5,312,-0.29540759,-1.024977,-2.7656779,-2.0988331,0.2214148,,,
lonesomeness,"During the long winter nights, the shepherd kept the wolves at bay but couldn't escape the LONESOMENESS.",seclusion,boredom,excitement,companionship,,,,,,,,,Matched (3),3,401,-0.1599735,-1.621555,-4.5216379,-1.475298,-1.353377,,,
bile,His face turned red with BILE when he heard the unfair accusation.,anger,fear,joy,sorrow,,,"best, not good",,,,,,Matched (3),2,32,9.9766979,-1.16453,-1.22528,-2.910171,-2.1054249,,,
tsar,She would often GNASH her teeth in her sleep due to stress.,grind,hum,breathe,talk,,,,,,,,,Matched (3),2,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
surveillance,"Due to the high level of SURVEILLANCE, the spies found it difficult to carry out their mission.",scrutiny,freedom,tension,silence,,best,,,,,,,Matched (3),1,441,-0.3610445,-1.722721,-0.38584459,-0.4838253,1.111349,,,
proportionate,The amount of water used should be PROPORTIONATE to the number of plants in the garden.,corresponding,excessive,minimal,random,,best,,,,,,,Matched (3),6,433,-0.3325581,-0.44431701,-1.646377,0.27366021,1.445199,,,
predictor,The scientist emphasized that the gene could be a critical PREDICTOR of the disease.,sign,cause,treatment,factor,best,,,,,,,,Matched (3),3,333,-0.27627951,-0.7265473,-1.421664,-2.082128,0.088023998,,,
tote,She decided to TOTE all the groceries in a reusable bag instead of using plastic bags.,carry,cook,sell,store,best,,best,2,,,,,Matched (3),6,33,7.4764848,-0.80139607,-1.6799819,-2.800555,-2.0980661,,,
chairman,The CHAIRMAN thanked all the stakeholders for their continued support and cooperation.,president,clerk,visitor,observer,,,,,,,,,Matched (3),6,242,-0.1185334,-1.19092,0.41878209,-0.031857401,-0.3334876,,,
lonesomeness,The old cabin in the woods was filled with an air of LONESOMENESS after the family moved out.,isolation,chaos,warmth,noise,,,,,,,,,Matched (3),2,401,-0.1599735,-1.621555,-4.5216379,-1.475298,-1.353377,,,
cosmology,She decided to major in COSMOLOGY to explore the fundamental questions about the universe's origin and structure.,astrophysics,botany,musicology,economics,,,,,,,,,Matched (3),3,332,-0.33200139,-0.91608858,-1.528409,-2.5938151,0.7309643,,,
urbane,"Despite the chaotic environment, she managed to maintain an URBANE demeanor that impressed everyone.",cultured,clumsy,naive,brash,,,,,,,,,Matched (3),2,120,0.1370928,-1.99813,-2.3231399,-0.77313328,-1.097759,,,
maser,Researchers have utilized a MASER to improve the accuracy of space communication systems.,device,protocol,field,experiment,error,,,,,,,,Matched (3),6,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
grueling,The GRUELING climb to the mountain's peak left the hikers completely drained of energy.,strenuous,leisurely,effortless,relaxing,best,,,,,,,,Matched (3),6,230,-0.3157672,-2.099267,-1.636696,-1.147405,0.52344543,,,
codebook,"In order to understand the survey data, the analysts used the CODEBOOK provided by the team.",reference,directory,container,metaphor,best,,,,,,,,Matched (3),2,204,11.84046,0.056676898,-3.736362,-4.030724,-1.861369,,,
dustman,The GRUELING climb to the mountain's peak left the hikers completely drained of energy.,trash collector,mechanic,chef,pilot,,,,,,,,,Matched (3),2,102,-0.2606076,-1.4441431,-4.3059978,-0.7596401,-0.1874572,,,
tsar,"The lavish lifestyle of the TSAR was often at odds with the poverty of the peasantry, leading to growing unrest among the populace.",ruler,poet,artist,soldier,,,,,,,,,Matched (3),4,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
adaptive,His ADAPTIVE learning style enabled him to excel in various educational settings.,versatile,fixed,uninspired,strict,,,,,,,,,Matched (3),4,241,-0.2540803,-1.635638,-1.08948,-1.1548671,-1.026734,,,
phosphorescent,The jellyfish glowed with a PHOSPHORESCENT light that illuminated the dark ocean.,glowing,dim,flickering,dark,,,,,,,,,Matched (3),2,410,-0.3576476,-2.32178,-2.686379,-1.421068,2.129241,,,
glum,He seemed GLUM as he stared out the window at the rain.,gloomy,ecstatic,attentive,calm,,,,,,,,,Matched (3),6,22,2.5134561,-0.93412977,-2.116667,-0.75670159,-1.780383,,,
codebook,"In order to understand the survey data, the analysts used the CODEBOOK provided by the team.",reference,directory,container,metaphor,best,best,,2,,,,,Matched (3),2,204,11.84046,0.056676898,-3.736362,-4.030724,-1.861369,,,
tsar,The angry dog began to GNASH its teeth at the approaching stranger.,grind,wag,lick,purr,,,,,,,,,Matched (3),1,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
illusionist,"The young boy aspired to become an ILLUSIONIST, fascinated by the mysterious world of magic.",trickster,scientist,writer,athlete,,,,,,,,,Matched (3),3,411,-0.3273052,-1.594017,-2.8522689,-4.0830188,0.95325023,,,
snakeroot,Botanists are studying the properties of SNAKEROOT to determine its potential medicinal benefits.,root,experiment,result,discovery,,,,,,,,,Matched (3),1,304,-0.028939201,-0.0078959,-4.5115299,-1.792186,-1.387576,,,
wormhole,Scientists believe that a WORMHOLE could allow faster-than-light travel by creating a shortcut through space and time.,tunnel,black hole,barrier,illusion,,,,,,,,,Matched (3),6,221,-0.2941111,-1.735162,-2.118541,-2.258543,-0.16423281,,,
seer,The SEER was consulted to predict the outcome of the king's battle plan.,prophet,soldier,leader,artist,best,,,,,,,,Matched (3),2,23,5.6484151,-0.32464051,-2.3000319,-1.226426,-2.234185,,,
conscientious,"The team appreciated how CONSCIENTIOUS their leader was, always paying attention to every detail in the projects.",meticulous,spontaneous,mundane,erratic,best,,,,,,,,Matched (3),1,442,-0.37063631,-0.95450288,-1.02028,0.67162228,1.7615319,,,
reparation,The company committed to REPARATION for the harm caused by its harmful pollution over the years.,restitution,disruption,celebration,introduction,,,best,,,,,,Matched (3),1,424,-0.1043145,0.1304138,-2.445926,-2.0322931,0.13727389,,,
dethrone,The board members voted to DETHRONE the company’s CEO after the poor financial report.,oust,appoint,praise,consult,best,,,,,,,,Matched (3),6,210,-0.2941294,-1.885605,-2.9452879,-0.86619103,-0.20166969,,,
trait,One important TRAIT of a successful leader is the ability to communicate effectively.,attribute,strategy,method,tool,,,,,,,,,Matched (3),3,41,1.508086,-1.588469,-0.40775961,-0.34008011,-1.716779,,,
jovial,"His JOVIAL laugh echoed through the hallways, making people smile.",merry,serious,dull,timid,,,,,,,,,Matched (3),2,130,0.3572045,-1.879122,-1.832177,-0.83017749,-0.6918866,,,
chairman,The CHAIRMAN of the board called the meeting to order promptly at 9 AM.,leader,assistant,guest,participant,,,,,,,,,Matched (3),2,242,-0.1185334,-1.19092,0.41878209,-0.031857401,-0.3334876,,,
newsgroup,"In order to get updates from experts in the field, Maria subscribed to a popular NEWGROUP.",forum,magazine,broadcast,blog,error,,,,,,,,Matched (3),2,313,-0.1684902,-0.53684568,-3.0395761,-3.9820509,1.509396,,,
illusionist,"The young boy aspired to become an ILLUSIONIST, fascinated by the mysterious world of magic.",trickster,scientist,writer,athlete,,,,,,,,,Matched (3),3,411,-0.3273052,-1.594017,-2.8522689,-4.0830188,0.95325023,,,
Statehood,The celebrations to mark the centennial of STATEHOOD included a parade and fireworks.,sovereignty,governance,heritage,diversity,,,,,,,,,Using only (2),2,0,0,0,0,0,0,,,
cockeyed,Her plans for the weekend were so COCKEYED that no one could take them seriously.,absurd,organized,logical,thrilling,,,,,,,,,Matched (3),3,213,-0.040678699,-0.76759988,-2.758297,-1.814664,-0.54790318,,,
slutty,,,,,,,,,,,,,,Master only (1),1,114,-0.2303949,-0.038118701,-3.1229911,-2.252095,-0.69215631,low valence,,
heckle,"During the comedian's performance, some audience members began to HECKLE him, disrupting the show.",taunt,applaud,ignore,praise,best,,,,,,,,Matched (3),3,113,0.63807422,-0.8503564,-2.972322,-0.79170609,-1.241866,,,
cockeyed,The artist created a COCKEYED portrait that left the audience both puzzled and intrigued.,bizarre,beautiful,conventional,realistic,best,best,best,3,,,,,Matched (3),1,213,-0.040678699,-0.76759988,-2.758297,-1.814664,-0.54790318,,,
vodka,,,,,,,,,,,,,,Matched (3),1,40,-0.26617149,-1.936461,-0.93656182,-2.0647719,-0.99949259,low valence,,
jovial,The JOVIAL atmosphere of the party made everyone feel welcome and happy.,festive,tense,somber,quiet,,best,best,2,,,,,Matched (3),3,130,0.3572045,-1.879122,-1.832177,-0.83017749,-0.6918866,,,
heroin,Health officials are concerned about the surge in HEROIN addiction among teenagers.,narcotic,caffeine,medication,snacks,low valence,,best,,,,,,Matched (3),1,141,0.31694669,-1.678611,-0.46049181,-3.16364,-0.96431422,,,
gumbo,"The chef is famous for his delicious GUMBO, a dish that combines various spices and seafood.",soup,pie,casserole,smoothie,,,,,,,,,Matched (3),2,24,0.38425121,-0.2290304,-1.924482,-3.98806,-1.130899,,,
lethal,Handling the unknown chemical without proper gear could result in LETHAL consequences.,life-threatening,trivial,inconsequential,irrelevant,low valence,best,,,,,,,Matched (3),6,140,-0.24656171,-1.909003,-0.7158286,-0.34009531,-1.0112211,,,
Statehood,The celebrations to mark the centennial of STATEHOOD included a parade and fireworks.,sovereignty,governance,heritage,diversity,,best,,,,,,,Using only (2),2,0,0,0,0,0,0,,,
perkiness,"The puppy's PERKINESS was contagious, causing everyone at the park to smile.",liveliness,lethargy,confusion,aggression,,best,best,2,,,,,Matched (3),3,303,2.112375,-0.82512653,-3.8704841,-3.2778621,-1.010304,,,
smoggy,The SMOGGY conditions in the industrial area were a cause for health concerns.,foggy,pristine,arid,tranquil,,,,,,,,,Matched (3),3,110,-0.26824731,-2.0556059,-2.999346,-2.363709,-0.157974,,,
grueling,"After a GRUELING week of final exams, the students were eager to relax and unwind.",arduous,easy-going,carefree,dull,,,,,,,,,Matched (3),3,230,-0.3157672,-2.099267,-1.636696,-1.147405,0.52344543,,,
chairman,The CHAIRMAN of the board called the meeting to order promptly at 9 AM.,leader,assistant,guest,participant,,best,best,2,,,,,Matched (3),2,242,-0.1185334,-1.19092,0.41878209,-0.031857401,-0.3334876,,,
bulgy,"The old, BULGY suitcase seemed like it would burst open at any moment.",protruding,compact,invisible,empty,best,,,,,,,,Matched (3),2,0,1.012418,-2.1170831,-3.63605,-2.3103111,-1.1563129,,,
maser,The development of the MASER in the 1950s was a significant milestone in the field of quantum electronics.,invention,obstacle,trend,hypothesis,error,,,,,,,,Matched (3),3,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
depiction,The artist's DEPICTION of the bustling marketplace captured the vibrant energy and diversity of the scene.,portrayal,creation,destruction,removal,,,,,,,,,Matched (3),3,334,-0.291242,0.1579157,-1.692847,-2.6202991,-0.031723399,,,
buttonhook,"While cleaning out the attic, I discovered an old BUTTONHOOK among my grandmother's belongings.",tool,photograph,letter,blanket,best,,,,,,,,Matched (3),2,400,-0.30595151,-2.28158,-4.939497,-2.975148,0.63547248,,,
vodka,,,,,,,,,,,,,,Matched (3),2,40,-0.26617149,-1.936461,-0.93656182,-2.0647719,-0.99949259,,,
privy,Only senior members of the team are PRVY to the details of the new project.,informed,assigned,interested,prejudiced,best,best,,2,,,,,Matched (3),3,34,-0.17536791,-0.1097499,-1.381842,-0.98187321,-1.287394,,,
mousy,Her MOUSY appearance at the party made it easy for her to blend into the background.,quiet,fashionable,vibrant,eccentric,,,,,,,,,Matched (3),3,13,0.89446092,-0.3272649,-2.6498239,-1.124418,-1.435003,,,
surveillance,The government used advanced technology for SURVEILLANCE to keep an eye on potential threats.,observation,communication,negotiation,legislation,,,,,,,,,Matched (3),2,441,-0.3610445,-1.722721,-0.38584459,-0.4838253,1.111349,,,
reassert,"In her closing argument, she aimed to REASSERT the main points to ensure the jury understood her stance.",emphasize,neglect,confuse,decorate,,best,,,,,,,Matched (3),2,220,-0.29090121,-2.0211029,-2.339967,-0.56720769,-0.2306108,,,
absurd,The notion that he could finish his homework in ten minutes was simply ABSURD.,preposterous,diligent,plausible,acceptable,,best,best,2,,,,,Matched (3),4,143,-0.27547029,-0.33618081,-0.1334749,0.4164384,-0.9263159,,,
revealer,The magician amazed the audience by being the REVEALER of the secret behind the trick.,discloser,participant,observer,contestant,,,,,,,,,Matched (3),6,203,0.34346351,-0.29340589,-3.548661,-3.526083,-0.21713629,,,
cock,The rooster began to COCK its head curiously at the noise coming from the barn.,tilt,hide,boast,perch,best,,,,,,,,Matched (3),3,44,7.8873739,1.550397,-0.51192141,-1.025781,-2.303277,,,
qualified,"The surgeon was widely regarded as one of the most QUALIFIED in the hospital, specializing in rare procedures.",skilled,tired,confused,curious,best,,,,,,,,Matched (3),2,344,0.96425962,1.049781,0.42407101,0.33706129,0.075604998,,,
tsar,"The TSAR's rule was marked by both opulence and autocracy, greatly influencing the history of Russia.",emperor,civilian,merchant,farmer,,,,,,,,,Matched (3),6,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
carefree,"On their vacation, the couple enjoyed a CAREFREE week exploring the countryside without any set plans.",relaxed,rigorous,solemn,anxious,,best,,,,,,,Matched (3),1,232,-0.2708315,-1.257787,-1.356995,0.53463179,-0.18780109,,,
boathouse,The couple rented a BOATHOUSE to enjoy their vacation by the river.,marina,hotel,apartment,chalet,,,"best, not good",,,,,,Matched (3),6,321,-0.26764661,-1.670868,-2.0409291,-2.2896399,-0.28770381,,,
Statehood,Achieving STATEHOOD meant that the region could now elect its own representatives in the federal government.,independence,population,economy,culture,,,,,,,,,Using only (2),1,0,0,0,0,0,0,,,
