Target_Word,Stem,Correct_Response,Response_B,Response_C,Response_D
connive,The employees suspected their manager was trying to CONNIVE with upper management to implement unfavorable changes secretly.,scheme,argue,collaborate,disclose
connive,It became clear that the two politicians would CONNIVE to undermine their opponent in the upcoming election.,plot,debate,negotiate,reveal
connive,"When the children conspired to sneak out of the house, they had to CONNIVE to avoid getting caught by their parents.",conspire,argue,greet,report
cymbal,"During the orchestra's performance, the percussionist struck the CYMBAL with great force, producing a loud, crashing sound.",gong,guitar,violin,trumpet
cymbal,The drummer added a quick crash of the CYMBAL to emphasize the dramatic end to the piece.,gong,drumstick,piano,clarinet
cymbal,"In the rock band's energetic finale, the drummer's rhythmic hits on the CYMBAL echoed through the stadium.",gong,microphone,bass,keyboard
lethal,"The spider's bite proved to be LETHAL to its prey, causing it to die within minutes.",deadly,mild,soothing,annoying
lethal,The detectives found that the suspect used a LETHAL dose of poison in the crime.,fatal,ineffective,harmless,beneficial
lethal,Handling the unknown chemical without proper gear could result in LETHAL consequences.,life-threatening,trivial,inconsequential,irrelevant
scald,"Be careful when pouring the boiling water, or you might SCALD yourself.",burn,injure,annoy,splash
scald,The chef quickly learned that it was easy to SCALD the milk if he wasn't attentive.,overheat,stir,cool,smell
scald,The nurse warned the patient that the extremely hot compress might SCALD his skin.,blister,soothe,cleanse,soften
residency,"After graduating from medical school, she began her RESIDENCY at a major hospital in Boston.",training,vacation,seminar,excursion
residency,He completed a two-year artist RESIDENCY that allowed him to work on his painting without financial worries.,fellowship,hiatus,trip,job
residency,Her RESIDENCY at the university enabled her to conduct independent research.,tenure,journey,break,employment
prior,He had a PRIOR engagement and could not attend the meeting.,previous,special,casual,tentative
prior,The regulations require that any changes be approved by the committee PRIOR to implementation.,before,along,regarding,despite
prior,She had no PRIOR experience in the field but quickly learned the necessary skills.,earlier,significant,formal,urgent
depiction,The artist's DEPICTION of the bustling marketplace captured the vibrant energy and diversity of the scene.,portrayal,creation,destruction,removal
depiction,The movie's DEPICTION of historical events was praised for its accuracy and attention to detail.,representation,omission,invention,avoidance
depiction,The book's DEPICTION of rural life in the 19th century is both poignant and thorough.,illustration,celebration,disruption,commentary
bayou,The alligator moved stealthily through the murky waters of the BAYOU.,marsh,desert,island,mountain
bayou,The family took a boat tour to explore the lush vegetation along the BAYOU.,wetland,highway,suburb,prairie
bayou,"Growing up near the BAYOU, she had become accustomed to the sounds of frogs and crickets at night.",swamp,forest,beach,plateau
revealer,The magician amazed the audience by being the REVEALER of the secret behind the trick.,discloser,participant,observer,contestant
revealer,"In her speech, the whistleblower became the REVEALER of the company's fraudulent activities.",exposer,announcer,defender,admirer
revealer,The archaeologist was thrilled to be the REVEALER of the ancient tomb's hidden treasures.,unveiler,guard,explorer,visitor
bulgy,"After the long hike, her eyes were BULGY from lack of sleep.",swollen,cheerful,radiant,sleepy
bulgy,"The old, BULGY suitcase seemed like it would burst open at any moment.",protruding,compact,invisible,empty
bulgy,His muscles looked BULGY after months of intense weightlifting.,enlarged,weak,narrow,soft
guerrilla,The soldiers were ambushed by a group of GUERRILLA fighters hiding in the forest.,insurgent,disciplined,regular,powerful
guerrilla,The revolutionary wave gained strength thanks to the relentless efforts of the GUERRILLA movement.,insurgent,commanding,structured,diplomatic
guerrilla,Training became essential for navigating the challenging tactics of GUERRILLA warfare.,insurgent,traditional,formal,orderly
cuisine,"The restaurant is known for its exceptional Italian CUISINE, which includes a variety of handmade pasta and wood-fired pizzas.",food,decoration,furniture,service
cuisine,"When traveling to different countries, it's always exciting to try the local CUISINE and experience new flavors.",dishes,landmarks,customs,traditions
cuisine,His interest in French CUISINE led him to enroll in a prestigious cooking school in Paris.,cooking,culture,art,language
surveillance,The store increased its SECURITY after a series of thefts were reported.,monitoring,management,inventory,staffing
surveillance,The government used advanced technology for SURVEILLANCE to keep an eye on potential threats.,observation,communication,negotiation,legislation
surveillance,"Due to the high level of SURVEILLANCE, the spies found it difficult to carry out their mission.",scrutiny,freedom,tension,silence
beachhead,The army established a BEACHHEAD on the coast to ensure a safe landing for additional troops.,foothold,departure,heiress,flyer
beachhead,"In the competitive market, the company sought to gain a BEACHHEAD before expanding its operations nationwide.",stronghold,decline,philosopher,flyer
beachhead,"The new startup successfully established a BEACHHEAD in the tech industry, which allowed it to grow rapidly.",foothold,retreat,greenery,latitude
heckle,"During the comedian's performance, some audience members began to HECKLE him, disrupting the show.",taunt,applaud,ignore,praise
heckle,"It is considered rude to HECKLE a speaker during their presentation, as it can throw them off and disturb the audience.",jeer,compliment,whisper,concentrate
heckle,"The fans started to HECKLE the opposing team from the stands, making it hard for the players to focus.",harass,encourage,silence,listen
maser,The MASER technology has greatly advanced our ability to amplify microwave signals with high precision.,amplifier,recorder,generator,filter
maser,Researchers have utilized a MASER to improve the accuracy of space communication systems.,device,protocol,field,experiment
maser,The development of the MASER in the 1950s was a significant milestone in the field of quantum electronics.,invention,obstacle,trend,hypothesis
maser,The soldier's GALLANTRY on the battlefield earned him a prestigious medal.,bravery,clumsiness,hesitation,fear
maser,Her GALLANTRY in facing the difficult situation was admired by everyone in the community.,courage,confusion,frustration,uncertainty
maser,The knight's tale was a story of GALLANTRY and nobility.,heroism,deception,recklessness,weakness
mulishness,"Despite numerous logical arguments, her MULE stubbornly refused to change its path due to its MULE-LIKE MANNER.",obstinacy,curiosity,flexibility,enthusiasm
mulishness,The project's failure was attributed to the manager's MULE stubborn refusal to consider alternative strategies.,stubbornness,kindness,expertise,compassion
mulishness,Her MULE refusal to compromise strained relationships within the team.,intransigence,generosity,cooperation,unpredictability
jovial,Sarah's JOVIAL nature always brightens up the room.,cheerful,angry,solemn,confused
jovial,The JOVIAL atmosphere of the party made everyone feel welcome and happy.,festive,tense,somber,quiet
jovial,"His JOVIAL laugh echoed through the hallways, making people smile.",merry,serious,dull,timid
newsgroup,Alex spent hours each day reading posts and engaging in discussions on the NEWGROUP related to his favorite hobby.,forum,article,journal,newsletter
newsgroup,"In order to get updates from experts in the field, Maria subscribed to a popular NEWGROUP.",forum,magazine,broadcast,blog
newsgroup,The company's marketing team decided to promote their latest product on a technology NEWGROUP.,forum,report,presentation,broadcast
seer,The SEER was consulted to predict the outcome of the king's battle plan.,prophet,soldier,leader,artist
seer,Legends spoke of a SEER who could reveal the hidden truths of the universe.,visionary,warrior,scholar,merchant
seer,The villagers sought guidance from the SEER before making important decisions.,oracle,farmer,captain,musician
snakeroot,The herbalist recommended using SNAKEROOT to treat the patient's inflammatory condition.,plant,medicine,ritual,diet
snakeroot,Early settlers believed that SNAKEROOT could help cure snake bites and other venomous encounters.,herb,charm,spell,prayer
snakeroot,Botanists are studying the properties of SNAKEROOT to determine its potential medicinal benefits.,root,experiment,result,discovery
krill,Whales often feed on vast swarms of KRILL in the ocean.,shrimp,algae,plankton,seaweed
krill,"The arctic waters are teeming with KRILL, which serves as a primary food source for many marine animals.",crustaceans,fish,corals,shells
krill,Scientists are studying the impact of climate change on the population of KRILL in Antarctic waters.,small shrimp,sea plants,large fish,underwater mammals
loquacious,Scientists are studying the impact of climate change on the population of KRILL in Antarctic waters.,talkative,silent,hesitant,indifferent
loquacious,Scientists are studying the impact of climate change on the population of KRILL in Antarctic waters.,talkative,sleepy,stubborn,hungry
loquacious,Scientists are studying the impact of climate change on the population of KRILL in Antarctic waters.,talkative,quiet,shy,polite
hieroglyphic,The ancient Egyptians used a complex system of HIEROGLYPHIC symbols to write on temple walls.,pictorial,numeric,modern,auditory
hieroglyphic,"Archeologists discovered a HIEROGLYPHIC inscription inside the pyramid, providing clues about its construction.",symbolic,simple,temporary,blank
hieroglyphic,"To understand the ancient HIEROGLYPHIC text, the researcher studied several old scripts and symbols.",emblematic,verbal,novel,incomplete
courtyard,The children played in the spacious COURTYARD until the sun went down.,enclosure,living room,balcony,alley
courtyard,The hotel features a beautiful COURTYARD with a fountain and several gardens.,patio,lobby,suite,hallway
courtyard,We enjoyed our morning coffee in the quiet COURTYARD away from the noise of the street.,quad,office,rooftop,sidewalk
reparation,"After the extensive damage caused by the hurricane, the government promised financial REPARATION to the affected communities.",compensation,negligence,appointment,ceremony
reparation,"As part of the peace treaty, the aggressor nation agreed to make significant REPARATION to the countries it had invaded.",amends,decoration,exclusions,maneuvers
reparation,The company committed to REPARATION for the harm caused by its harmful pollution over the years.,restitution,disruption,celebration,introduction
leukemia,"The doctor informed the patient that they had LEUKEMIA, which would require immediate treatment.",blood cancer,pneumonia,diabetes,hypertension
leukemia,"Research teams are tirelessly working to find a cure for LEUKEMIA, a devastating illness.",blood cancer,arthritis,eczema,asthma
leukemia,"LEUKEMIA is a type of illness that affects the blood and bone marrow, often requiring complex treatment.",blood cancer,influenza,bronchitis,migraine
leukemia,The PLAINNESS of the room made it feel cold and uninviting.,simplicity,brightness,complexity,warmth
leukemia,"The artist's work was known for its PLAINNESS, focusing on the subject without any distractions.",simplicity,vibrancy,detail,richness
leukemia,"Despite the PLAINNESS of the dress, it had a certain elegance that captivated everyone.",simplicity,extravagance,colorfulness,intricacy
arthritis,Maria often experiences joint pain and stiffness due to her ARTHRITIS.,inflammation,sprain,fracture,bruise
arthritis,The doctor recommended certain exercises to help alleviate the symptoms of ARTHRITIS.,inflammation,infection,dehydration,fatigue
arthritis,ARTHRITIS can cause significant discomfort and impact the quality of life of those who suffer from it.,inflammation,congestion,abrasion,curvature
trait,John's kindness is a TRAIT that everyone admires.,characteristic,habit,detail,manner
trait,One important TRAIT of a successful leader is the ability to communicate effectively.,attribute,strategy,method,tool
trait,Creativity is a TRAIT commonly found among artists and innovators.,quality,role,activity,action
vodka,,,,,
vodka,,,,,
vodka,,,,,
